"id","channel_name","lob_name","case_sub_type_id","level","sla_age","subject","email_from","to_designation","cc_designation","created_at","created_by","modified_at","modified_by","to_email","cc_email","device_type_id","level_order","template_id","is_active"
"158","Arena","Sales","1","Seventh Level","30","Seventh Level escalation for New Arena Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@TSM","SALES@GM,SALES@QCM,SALES@RM,SALES@CBH,SALES@CRMC,SALES@SNP-CO,SALES@SM,SALES@CEO,SALES@DVH-MKT3,SALES@SNP-DVH,SALES@SH,SALES@CRM-HEAD,SALES@DDVM-SNP,SALES@DVM-SNP,SALES@CCO","2023-12-14 15:50:18.125113","admin","2025-06-24 03:48:19.691225","CONCENTRIX_SatishChowdary.Goli@maruti.co.in","","crm@maruti.co.in,gaurav.singal@maruti.co.in,sandeep.behera@maruti.co.in","2","7","31",True
"145","Commercial","Sales","1","Fifth Level","10","Fifth Level escalation for New Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-12-21 13:24:08.752788","admin",NULL,NULL,"","crm@maruti.co.in","1","5","6",True
"187","Commercial","Sales","1","Fifth Level","10","Fifth Level escalation for New Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-12-21 13:24:08.752788","admin",NULL,NULL,"","crm@maruti.co.in","2","5","6",True
"22","Arena","Sales","2","First Level","2","First Level escalation for Repeat Arena Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@CBH","SALES@TSM,SALES@GM,SALES@CRM-HEAD,SALES@SNP-CO,SALES@RM,SALES@SM,SALES@QCM,SALES@CEO,SALES@CRMC,SALES@SNP-DVH","2023-06-26 14:16:38.763506","admin","2025-06-24 03:31:07.792056","CONCENTRIX_SatishChowdary.Goli@maruti.co.in","","crm@maruti.co.in,gaurav.singal@maruti.co.in,sandeep.behera@maruti.co.in",NULL,"1","460",True
"14","Commercial","Sales","1","Seventh Level","30","Seventh Level escalation for New Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-06-26 14:16:38.763506","admin",NULL,NULL,"","crm@maruti.co.in",NULL,"7","15",True
"104","Nexa","Suzuki Connect","1","Third Level","10","Third Level escalation for New Nexa Suzuki Connect Gen 2 Product Complaint Number {{caseNumber}} which is registered on {{caseCreationDate}}","msilcomplaints.noreply@maruti.co.in","SUZUKI CONNECT@DVM(ASTS)@GEN2","SUZUKI CONNECT@SMGR(SETE)@GEN2,SUZUKI CONNECT@MGR(CRM-1)@GEN2,SUZUKI CONNECT@SMGR(CRM-1)@GEN2,SUZUKI CONNECT@SFMGR1(CRM1)@GEN2,SUZUKI CONNECT@DPM(SETE)@GEN2","2023-06-26 14:16:38.763506","admin",NULL,NULL,"","GEN2_Suzuki_Connect@maruti.co.in,SC_Nexa@nexaexperience.com","2","3","21",True
"29","Nexa","Sales","2","First Level","2","First Level escalation for Repeat Nexa Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@CBH","SALES@TSM,SALES@GM,SALES@CRM-HEAD,SALES@SNP-CO,SALES@RM,SALES@SM,SALES@QCM,SALES@CEO,SALES@CRMC,SALES@SNP-DVH","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in",NULL,"1","460",True
"83","Arena","Accessories","2","First Level","2","First Level escalation for Repeat Arena Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@TAM,ACCESSORIES@RAM","SALES@SNP-CO,ACCESSORIES@AM(PACCLS),SALES@SM,SALES@CCM,SALES@CRMC,ACCESSORIES@MGR(ACC),ACCESSORIES@ZAM,SALES@GM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"1","465",True
"37","Commercial","Sales","2","Second Level","3","Second Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@ZH","SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@DVM,SALES@COH,SALES@CC-INCHARGE","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in",NULL,"2","466",True
"39","Commercial","Sales","2","Fourth Level","5","Fourth Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in",NULL,"4","470",True
"102","Nexa","Suzuki Connect","1","First Level","3","First Level escalation for New Nexa Suzuki Connect Gen 2 Product Complaint Number {{caseNumber}} which is registered on {{caseCreationDate}}","msilcomplaints.noreply@maruti.co.in","SUZUKI CONNECT@SMGR(SETE)@GEN2","SUZUKI CONNECT@MGR(CRM-1)@GEN2,SUZUKI CONNECT@SMGR(CRM-1)@GEN2,SUZUKI CONNECT@DPM(SETE)@GEN2","2023-06-26 14:16:38.763506","admin",NULL,NULL,"","GEN2_Suzuki_Connect@maruti.co.in,SC_Nexa@nexaexperience.com","2","1","18",True
"99","Arena","Suzuki Connect","1","First Level","3","First Level escalation for New Arena Suzuki Connect Gen 2 Product Complaint Number {{caseNumber}} which is registered on {{caseCreationDate}}","msilcomplaints.noreply@maruti.co.in","SUZUKI CONNECT@SMGR(SETE)@GEN2","SUZUKI CONNECT@MGR(CRM-1)@GEN2,SUZUKI CONNECT@SMGR(CRM-1)@GEN2,SUZUKI CONNECT@DPM(SETE)@GEN2","2023-06-26 14:16:38.763506","admin",NULL,NULL,"","GEN2_Suzuki_Connect@maruti.co.in,SC_Nexa@nexaexperience.com","2","1","18",True
"194","Commercial","Sales","2","First Level","2","First Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@ZH","SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@DVM,SALES@COH,SALES@CC-INCHARGE","2023-11-29 07:46:27.604878","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in","2","1","460",True
"38","Commercial","Sales","2","Third Level","4","Third Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in",NULL,"3","462",True
"87","Nexa","Accessories","2","First Level","2","First Level escalation for Repeat Nexa Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@TAM,ACCESSORIES@RAM","SALES@SNP-CO,ACCESSORIES@AM(PACCLS),SALES@SM,SALES@CCM,SALES@CRMC,ACCESSORIES@MGR(ACC),ACCESSORIES@ZAM,SALES@GM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"1","465",True
"193","Commercial","Sales","2","Second Level","3","Second Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@ZH","SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@DVM,SALES@COH,SALES@CC-INCHARGE","2023-11-29 07:46:27.604878","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in","2","2","466",True
"151","Commercial","Sales","2","Second Level","3","Second Level escalation for Repeat Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@ZH","SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@DVM,SALES@COH,SALES@CC-INCHARGE","2023-11-29 07:44:15.567792","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in","1","2","466",True
"92","True Value","Accessories","2","Second Level","5","Second Level escalation for Repeat True Value Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@ZAM","TRUE VALUE@CCM,TRUE VALUE@CEO,ACCESSORIES@AM(PACCLS),TRUE VALUE@SNP-CO,TRUE VALUE@TVM,ACCESSORIES@TAM,ACCESSORIES@MGR(ACC),ACCESSORIES@RAM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"2","467",True
"76","True Value","Accessories","1","Second Level","5","Second Level escalation for New True Value Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@ZAM","TRUE VALUE@CCM,TRUE VALUE@CEO,ACCESSORIES@AM(PACCLS),TRUE VALUE@SNP-CO,TRUE VALUE@TVM,ACCESSORIES@TAM,ACCESSORIES@MGR(ACC),ACCESSORIES@RAM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"2","12",True
"189","Commercial","Sales","1","Third Level","4","Third Level escalation for New Commercial Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@DVM","SALES@ZH,SALES@TSM,SALES@GM,SALES@CEO,SALES@DPM-COMS,SALES@COH,SALES@CC-INCHARGE","2023-11-29 07:46:27.604878","admin","2024-05-16 14:41:26.230163",NULL,"","crm@maruti.co.in","2","3","14",True
"97","Commercial","Accessories","2","Third Level","7","Third Level escalation for Repeat Commercial Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@ZAM","SALES@SNP-CO,ACCESSORIES@AM(PACCLS),SALES@SM,SALES@CCM,ACCESSORIES@TAM,SALES@CRMC,ACCESSORIES@MGR(ACC),ACCESSORIES@RAM,SALES@GM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","469",True
"89","Nexa","Accessories","2","Third Level","7","Third Level escalation for Repeat Nexa Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@ZAM","SALES@SNP-CO,ACCESSORIES@AM(PACCLS),SALES@SM,SALES@CCM,ACCESSORIES@TAM,SALES@CRMC,ACCESSORIES@MGR(ACC),ACCESSORIES@RAM,SALES@GM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","469",True
"93","True Value","Accessories","2","Third Level","7","Third Level escalation for Repeat True Value Accessories Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","ACCESSORIES@ZAM","TRUE VALUE@CCM,TRUE VALUE@CEO,ACCESSORIES@AM(PACCLS),TRUE VALUE@SNP-CO,TRUE VALUE@TVM,ACCESSORIES@TAM,ACCESSORIES@MGR(ACC),ACCESSORIES@RAM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","469",True
"47","Nexa","Service","1","Second Level","5","Second Level escalation for New Nexa Service Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SERVICE@ZSH,SERVICE@DPM,SERVICE@DPO-VESM","SERVICE@CEO,SERVICE@GM,SERVICE@WM,SERVICE@TSM,SERVICE@RSM,SERVICE@CC,SERVICE@TSDEC,SERVICE@CH,SERVICE@DDVM","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"2","25",True
"105","Arena","Suzuki Connect","2","First Level","3","First Level escalation for Repeat Arena Suzuki Connect Gen 2 Product Complaint Number {{caseNumber}} which is registered on {{caseCreationDate}}","msilcomplaints.noreply@maruti.co.in","SUZUKI CONNECT@SMGR(SETE)@GEN2","SUZUKI CONNECT@MGR(CRM-1)@GEN2,SUZUKI CONNECT@SMGR(CRM-1)@GEN2,SUZUKI CONNECT@DPM(SETE)@GEN2","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","GEN2_Suzuki_Connect@maruti.co.in,SC_Nexa@nexaexperience.com","2","1","471",True
"108","Nexa","Suzuki Connect","2","First Level","3","First Level escalation for Repeat Nexa Suzuki Connect Gen 2 Product Complaint Number {{caseNumber}} which is registered on {{caseCreationDate}}","msilcomplaints.noreply@maruti.co.in","SUZUKI CONNECT@SMGR(SETE)@GEN2","SUZUKI CONNECT@MGR(CRM-1)@GEN2,SUZUKI CONNECT@SMGR(CRM-1)@GEN2,SUZUKI CONNECT@DPM(SETE)@GEN2","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","GEN2_Suzuki_Connect@maruti.co.in,SC_Nexa@nexaexperience.com","2","1","471",True
"57","Nexa","Service","2","Third Level","7","Third Level escalation for Repeat Nexa Service Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SERVICE@CH,SERVICE@DDVM","SERVICE@CEO,SERVICE@GM,SERVICE@WM,SERVICE@TSM,SERVICE@RSM,SERVICE@CC,SERVICE@ZSH,SERVICE@TSDEC,SERVICE@DPO-VESM,SERVICE@DPO","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","475",True
"60","Commercial","Service","2","Third Level","7","Third Level escalation for Repeat Commercial Service Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SERVICE@CH,SERVICE@DDVM","SERVICE@CEO,SERVICE@GM,SERVICE@WM,SERVICE@TSM,SERVICE@RSM,SERVICE@CC,SERVICE@ZSH,SERVICE@TSDEC,SERVICE@DPO-VESM,SERVICE@DPO","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","475",True
"54","Arena","Service","2","Third Level","7","Third Level escalation for Repeat Arena Service Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SERVICE@CH,SERVICE@DDVM","SERVICE@CEO,SERVICE@GM,SERVICE@WM,SERVICE@TSM,SERVICE@RSM,SERVICE@CC,SERVICE@ZSH,SERVICE@TSDEC,SERVICE@DPO-VESM,SERVICE@DPO","2023-06-26 14:16:38.763506","admin","2024-05-16 14:41:26.230163",NULL,"","",NULL,"3","475",True
"129","Nexa","Sales","1","Fourth Level","5","Fourth Level escalation for New Nexa Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@CCO","SALES@RM,SALES@CBH,SALES@CRMC,SALES@SNP-CO,SALES@GM,SALES@QCM,SALES@SM,SALES@CEO,SALES@DVH-MKT3,SALES@TSM,SALES@SNP-DVH,SALES@CRM-HEAD,SALES@DDVM-SNP,SALES@DVM-SNP","2023-11-29 07:44:15.567792","admin","2025-06-18 15:04:49.905936","CONCENTRIX_SatishChowdary.Goli@maruti.co.in","","crm@maruti.co.in","1","4","27",True
"120","Arena","Sales","1","Fourth Level","5","Fourth Level escalation for New Arena Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@CCO","SALES@RM,SALES@CBH,SALES@CRMC,SALES@SNP-CO,SALES@GM,SALES@QCM,SALES@SM,SALES@CEO,SALES@DVH-MKT3,SALES@TSM,SALES@SNP-DVH,SALES@CRM-HEAD,SALES@DDVM-SNP,SALES@DVM-SNP","2023-11-29 07:44:15.567792","admin","2025-06-24 03:38:56.742788","CONCENTRIX_SatishChowdary.Goli@maruti.co.in","","crm@maruti.co.in,gaurav.singal@maruti.co.in,sandeep.behera@maruti.co.in","1","4","27",True
"18","Nexa","Sales","1","Fourth Level","5","Fourth Level escalation for New Nexa Sales Complaint ref. no {{caseNumber}}","msilcomplaints.noreply@maruti.co.in","SALES@CCO","SALES@RM,SALES@CBH,SALES@CRMC,SALES@SNP-CO,SALES@GM,SALES@QCM,SALES@SM,SALES@CEO,SALES@DVH-MKT3,SALES@TSM,SALES@SNP-DVH,SALES@CRM-HEAD,SALES@DDVM-SNP,SALES@DVM-SNP","2023-06-26 14:16:38.763506","admin","2025-06-18 15:05:57.537443","CONCENTRIX_SatishChowdary.Goli@maruti.co.in","","crm@maruti.co.in",NULL,"4","27",True
